Code	Name	Estimated Population mid-2015	Births	Deaths	Births minus Deaths	Internal Migration Inflow	Internal Migration Outflow	Internal Migration Net	International Migration Inflow	International Migration Outflow	International Migration Net	Other	Estimated Population mid-2016
E08000010	Wigan	"322,022"	"3,579"	"3,167"	412	"8,252"	"8,398"	-146	"1,304"	600	704	68	"323,060"
E10000017	Lancashire	"1,191,691"	"13,256"	"12,083"	"1,173"	"39,409"	"37,263"	"2,146"	"6,581"	"3,007"	"3,574"	214	"1,198,798"
E07000117	Burnley	"87,371"	"1,210"	888	322	"3,274"	"3,544"	-270	302	204	98	1	"87,522"
E07000118	Chorley	"112,969"	"1,243"	"1,011"	232	"5,429"	"4,461"	968	266	142	124	58	"114,351"
E07000119	Fylde	"77,322"	645	"1,028"	-383	"4,775"	"3,797"	978	225	158	67	6	"77,990"
E07000120	Hyndburn	"80,228"	"1,065"	822	243	"3,240"	"3,288"	-48	240	127	113	1	"80,537"
E07000121	Lancaster	"142,283"	"1,493"	"1,474"	19	"7,673"	"7,795"	-122	"1,981"	654	"1,327"	10	"143,517"
E07000122	Pendle	"90,111"	"1,277"	829	448	"2,943"	"3,413"	-470	680	193	487	12	"90,588"
E07000123	Preston	"141,302"	"1,884"	"1,184"	700	"8,247"	"9,259"	"-1,012"	"1,565"	876	689	122	"141,801"
E07000124	Ribble Valley	"58,480"	456	570	-114	"3,084"	"2,660"	424	159	119	40	-4	"58,826"
E07000125	Rossendale	"69,487"	798	608	190	"3,245"	"3,095"	150	114	45	69	-10	"69,886"
E07000126	South Ribble	"109,651"	"1,229"	974	255	"4,746"	"4,596"	150	215	161	54	8	"110,118"
E07000127	West Lancashire	"112,742"	"1,001"	"1,232"	-231	"6,027"	"5,468"	559	570	241	329	2	"113,401"
E07000128	Wyre	"109,745"	955	"1,463"	-508	"6,146"	"5,307"	839	264	87	177	8	"110,261"
E11000002	Merseyside (Met County)	"1,398,030"	"16,223"	"14,745"	"1,478"	"34,814"	"31,682"	"3,132"	"9,874"	"6,088"	"3,786"	21	"1,406,447"
E08000011	Knowsley	"147,231"	"1,918"	"1,518"	400	"5,792"	"5,579"	213	215	151	64	7	"147,915"
E08000012	Liverpool	"478,580"	"5,931"	"4,409"	"1,522"	"24,309"	"23,231"	"1,078"	"7,729"	"4,276"	"3,453"	-55	"484,578"
E08000014	Sefton	"273,707"	"2,818"	"3,186"	-368	"8,868"	"8,084"	784	814	721	93	45	"274,261"
E08000013	St. Helens	"177,612"	"1,991"	"1,907"	84	"5,353"	"4,749"	604	413	255	158	-3	"178,455"
E08000015	Wirral	"320,900"	"3,565"	"3,725"	-160	"7,757"	"7,304"	453	703	685	18	27	"321,238"
E12000003	YORKSHIRE AND THE HUMBER	"5,390,576"	"64,030"	"50,997"	"13,033"	"105,286"	"104,157"	"1,129"	"40,776"	"21,065"	"19,711"	"1,292"	"5,425,741"
E06000011	East Riding of Yorkshire	"336,685"	"2,910"	"3,812"	-902	"14,713"	"13,043"	"1,670"	963	748	215	28	"337,696"
E06000010	"Kingston upon Hull, City of"	"258,995"	"3,552"	"2,490"	"1,062"	"8,980"	"9,936"	-956	"2,873"	"1,786"	"1,087"	52	"260,240"
E06000012	North East Lincolnshire	"159,570"	"1,877"	"1,691"	186	"3,862"	"4,550"	-688	507	445	62	14	"159,144"
E06000013	North Lincolnshire	"169,820"	"1,811"	"1,713"	98	"5,105"	"4,790"	315	897	367	530	23	"170,786"
E06000014	York	"206,856"	"2,006"	"1,806"	200	"13,029"	"13,118"	-89	"2,675"	"1,326"	"1,349"	51	"208,367"
E10000023	North Yorkshire	"602,277"	"5,718"	"6,457"	-739	"24,184"	"21,889"	"2,295"	"2,428"	"2,280"	148	885	"604,866"
E07000163	Craven	"55,801"	451	662	-211	"2,992"	"2,346"	646	182	106	76	-4	"56,308"
E07000164	Hambleton	"90,035"	812	955	-143	"4,225"	"3,741"	484	260	145	115	46	"90,537"
E07000165	Harrogate	"157,016"	"1,505"	"1,633"	-128	"6,639"	"6,623"	16	858	"1,186"	-328	-264	"156,312"
E07000166	Richmondshire	"52,510"	536	442	94	"2,704"	"2,785"	-81	233	135	98	"1,111"	"53,732"
E07000167	Ryedale	"53,052"	449	606	-157	"2,864"	"2,291"	573	200	166	34	-16	"53,486"
E07000168	Scarborough	"107,902"	996	"1,353"	-357	"4,352"	"4,114"	238	386	343	43	-2	"107,824"
E07000169	Selby	"85,961"	969	806	163	"4,393"	"3,974"	419	309	199	110	14	"86,667"
E11000003	South Yorkshire (Met County)	"1,374,655"	"16,028"	"12,973"	"3,055"	"35,386"	"35,474"	-88	"11,791"	"4,513"	"7,278"	69	"1,384,969"
E08000016	Barnsley	"239,319"	"2,763"	"2,389"	374	"6,935"	"6,282"	653	"1,241"	364	877	-5	"241,218"
E08000017	Doncaster	"304,813"	"3,538"	"3,128"	410	"8,074"	"8,132"	-58	"1,869"	697	"1,172"	60	"306,397"
E08000018	Rotherham	"260,786"	"3,167"	"2,611"	556	"7,537"	"7,420"	117	847	392	455	16	"261,930"
E08000019	Sheffield	"569,737"	"6,560"	"4,845"	"1,715"	"24,229"	"25,029"	-800	"7,834"	"3,060"	"4,774"	-2	"575,424"
E11000006	West Yorkshire (Met County)	"2,281,718"	"30,128"	"20,055"	"10,073"	"57,279"	"58,609"	"-1,330"	"18,642"	"9,600"	"9,042"	170	"2,299,673"
E08000032	Bradford	"531,176"	"7,986"	"4,441"	"3,545"	"14,352"	"17,083"	"-2,731"	"4,578"	"2,289"	"2,289"	0	"534,279"
E08000033	Calderdale	"208,402"	"2,433"	"1,944"	489	"7,127"	"6,812"	315	852	292	560	4	"209,770"
E08000034	Kirklees	"434,321"	"5,392"	"3,863"	"1,529"	"13,381"	"13,981"	-600	"2,796"	"1,011"	"1,785"	12	"437,047"
E08000035	Leeds	"774,060"	"10,273"	"6,585"	"3,688"	"38,149"	"37,749"	400	"8,710"	"5,271"	"3,439"	156	"781,743"
E08000036	Wakefield	"333,759"	"4,044"	"3,222"	822	"10,432"	"9,146"	"1,286"	"1,706"	737	969	-2	"336,834"
E12000004	EAST MIDLANDS	"4,677,038"	"53,787"	"43,585"	"10,202"	"122,500"	"109,739"	"12,761"	"38,243"	"14,945"	"23,298"	"1,138"	"4,724,437"
E06000015	Derby	"254,251"	"3,312"	"2,245"	"1,067"	"10,827"	"10,967"	-140	"2,556"	"1,512"	"1,044"	11	"256,233"
E06000016	Leicester	"342,627"	"5,211"	"2,584"	"2,627"	"17,124"	"19,359"	"-2,235"	"8,150"	"2,840"	"5,310"	14	"348,343"
E06000018	Nottingham	"318,901"	"4,380"	"2,380"	"2,000"	"25,864"	"26,022"	-158	"7,464"	"2,999"	"4,465"	74	"325,282"
E06000017	Rutland	"38,046"	344	351	-7	"2,430"	"2,210"	220	153	94	59	288	"38,606"
E10000007	Derbyshire	"782,365"	"7,796"	"8,030"	-234	"26,055"	"23,157"	"2,898"	"1,578"	"1,011"	567	169	"785,765"
E07000032	Amber Valley	"124,069"	"1,215"	"1,274"	-59	"5,295"	"4,711"	584	194	158	36	15	"124,645"
E07000033	Bolsover	"77,780"	849	872	-23	"3,775"	"3,684"	91	357	122	235	-1	"78,082"
E07000034	Chesterfield	"104,407"	"1,053"	"1,135"	-82	"3,586"	"3,589"	-3	205	91	114	4	"104,440"
E07000035	Derbyshire Dales	"71,145"	525	836	-311	"3,192"	"2,863"	329	144	111	33	92	"71,288"
E07000036	Erewash	"114,510"	"1,256"	"1,138"	118	"4,907"	"4,633"	274	182	194	-12	1	"114,891"
E07000037	High Peak	"91,496"	877	813	64	"3,414"	"3,370"	44	182	125	57	1	"91,662"
E07000038	North East Derbyshire	"99,639"	890	"1,089"	-199	"4,536"	"3,634"	902	138	65	73	8	"100,423"
E07000039	South Derbyshire	"99,319"	"1,131"	873	258	"5,466"	"4,789"	677	176	145	31	49	"100,334"
E10000018	Leicestershire	"675,309"	"7,116"	"6,065"	"1,051"	"30,298"	"25,843"	"4,455"	"3,013"	865	"2,148"	-6	"682,957"
E07000129	Blaby	"96,544"	"1,104"	860	244	"5,524"	"4,724"	800	211	87	124	-9	"97,703"
E07000130	Charnwood	"176,720"	"1,880"	"1,410"	470	"11,401"	"10,511"	890	"1,617"	292	"1,325"	-16	"179,389"
E07000131	Harborough	"89,284"	845	789	56	"5,085"	"4,152"	933	209	67	142	1	"90,416"
E07000132	Hinckley and Bosworth	"108,769"	"1,151"	"1,043"	108	"5,375"	"4,320"	"1,055"	283	116	167	3	"110,102"
E07000133	Melton	"50,912"	493	458	35	"2,127"	"2,216"	-89	138	140	-2	22	"50,878"
E07000134	North West Leicestershire	"97,247"	"1,059"	925	134	"4,950"	"3,873"	"1,077"	245	53	192	-6	"98,644"
E07000135	Oadby and Wigston	"55,833"	584	580	4	"4,437"	"4,648"	-211	310	110	200	-1	"55,825"
E10000019	Lincolnshire	"736,665"	"7,783"	"7,882"	-99	"27,695"	"24,482"	"3,213"	"5,383"	"2,250"	"3,133"	501	"743,413"
E07000136	Boston	"66,902"	821	697	124	"2,060"	"2,971"	-911	"1,731"	369	"1,362"	87	"67,564"
E07000137	East Lindsey	"137,887"	"1,230"	"1,882"	-652	"6,947"	"5,863"	"1,084"	374	247	127	-3	"138,443"
E07000138	Lincoln	"97,065"	"1,277"	863	414	"8,212"	"8,486"	-274	"1,080"	508	572	18	"97,795"
E07000139	North Kesteven	"111,876"	"1,137"	"1,064"	73	"6,439"	"5,406"	"1,033"	260	155	105	210	"113,297"
E07000140	South Holland	"91,214"	982	"1,046"	-64	"3,974"	"3,532"	442	"1,085"	321	764	31	"92,387"
E07000141	South Kesteven	"138,909"	"1,424"	"1,383"	41	"7,064"	"6,044"	"1,020"	642	543	99	124	"140,193"
E07000142	West Lindsey	"92,812"	912	947	-35	"5,536"	"4,717"	819	211	107	104	34	"93,734"
E10000021	Northamptonshire	"723,026"	"9,113"	"6,113"	"3,000"	"24,480"	"22,256"	"2,224"	"6,642"	"1,787"	"4,855"	23	"733,128"
E07000150	Corby	"66,854"	971	578	393	"2,519"	"2,220"	299	820	169	651	-10	"68,187"
E07000151	Daventry	"80,014"	797	681	116	"4,905"	"3,971"	934	358	122	236	16	"81,316"
E07000152	East Northamptonshire	"89,746"	949	813	136	"5,039"	"4,080"	959	341	175	166	-8	"90,999"
E07000153	Kettering	"97,650"	"1,246"	848	398	"4,718"	"4,127"	591	553	204	349	14	"99,002"
E07000154	Northampton	"222,462"	"3,283"	"1,740"	"1,543"	"9,933"	"11,245"	"-1,312"	"3,559"	785	"2,774"	7	"225,474"
E07000155	South Northamptonshire	"89,116"	859	718	141	"5,439"	"4,927"	512	287	107	180	10	"89,959"
E07000156	Wellingborough	"77,184"	"1,008"	735	273	"3,889"	"3,648"	241	724	225	499	-6	"78,191"
E10000024	Nottinghamshire	"805,848"	"8,732"	"7,935"	797	"30,314"	"28,030"	"2,284"	"3,304"	"1,587"	"1,717"	64	"810,710"
E07000170	Ashfield	"123,574"	"1,467"	"1,241"	226	"5,733"	"5,232"	501	295	109	186	-5	"124,482"
E07000171	Bassetlaw	"114,533"	"1,252"	"1,205"	47	"4,130"	"4,009"	121	478	304	174	-28	"114,847"
E07000172	Broxtowe	"112,253"	"1,173"	"1,043"	130	"6,799"	"7,024"	-225	676	239	437	76	"112,671"
E07000173	Gedling	"115,889"	"1,287"	"1,120"	167	"5,931"	"5,588"	343	244	153	91	11	"116,501"
E07000174	Mansfield	"106,556"	"1,282"	"1,101"	181	"4,637"	"4,432"	205	797	320	477	16	"107,435"
E07000175	Newark and Sherwood	"118,569"	"1,198"	"1,192"	6	"6,164"	"5,324"	840	475	321	154	1	"119,570"
E07000176	Rushcliffe	"114,474"	"1,073"	"1,033"	40	"6,982"	"6,483"	499	339	141	198	-7	"115,204"
E12000005	WEST MIDLANDS	"5,751,000"	"70,820"	"53,493"	"17,327"	"110,942"	"109,246"	"1,696"	"49,148"	"19,616"	"29,532"	"1,179"	"5,800,734"
E06000019	"Herefordshire, County of"	"188,099"	"1,749"	"2,097"	-348	"6,689"	"6,404"	285	"1,861"	612	"1,249"	24	"189,309"
E06000051	Shropshire	"311,380"	"2,905"	"3,411"	-506	"12,126"	"10,134"	"1,992"	"1,037"	713	324	183	"313,373"
E06000021	Stoke-on-Trent	"251,648"	"3,502"	"2,451"	"1,051"	"9,300"	"10,092"	-792	"2,125"	816	"1,309"	10	"253,226"
E06000020	Telford and Wrekin	"171,159"	"2,082"	"1,422"	660	"6,817"	"6,126"	691	886	470	416	50	"172,976"
E10000028	Staffordshire	"862,562"	"8,591"	"8,365"	226	"28,537"	"27,395"	"1,142"	"3,324"	"1,013"	"2,311"	881	"867,122"
E07000192	Cannock Chase	"98,535"	"1,053"	938	115	"3,512"	"3,784"	-272	173	45	128	28	"98,534"
E07000193	East Staffordshire	"116,040"	"1,450"	"1,096"	354	"4,176"	"4,428"	-252	889	323	566	-7	"116,701"
E07000194	Lichfield	"102,706"	930	"1,037"	-107	"4,755"	"4,645"	110	298	78	220	132	"103,061"
E07000195	Newcastle-under-Lyme	"127,045"	"1,203"	"1,309"	-106	"7,166"	"6,221"	945	756	189	567	16	"128,467"
E07000196	South Staffordshire	"110,726"	958	"1,098"	-140	"5,408"	"4,875"	533	127	49	78	-17	"111,180"
E07000197	Stafford	"132,488"	"1,250"	"1,233"	17	"5,908"	"5,469"	439	722	222	500	711	"134,155"
E07000198	Staffordshire Moorlands	"97,881"	813	"1,038"	-225	"3,780"	"3,444"	336	126	52	74	3	"98,069"
E07000199	Tamworth	"77,141"	934	616	318	"2,259"	"2,956"	-697	233	55	178	15	"76,955"
E10000031	Warwickshire	"554,002"	"6,080"	"5,419"	661	"22,726"	"21,388"	"1,338"	"3,628"	"2,927"	701	48	"556,750"
E07000218	North Warwickshire	"62,787"	665	722	-57	"3,310"	"2,926"	384	131	29	102	13	"63,229"
E07000219	Nuneaton and Bedworth	"126,319"	"1,640"	"1,212"	428	"4,960"	"4,576"	384	385	491	-106	-6	"127,019"
E07000220	Rugby	"103,443"	"1,264"	969	295	"4,416"	"4,385"	31	994	923	71	-25	"103,815"
E07000221	Stratford-on-Avon	"121,522"	"1,105"	"1,314"	-209	"6,470"	"5,797"	673	766	508	258	32	"122,276"
E07000222	Warwick	"139,931"	"1,406"	"1,202"	204	"7,749"	"7,883"	-134	"1,352"	976	376	34	"140,411"
E11000005	West Midlands (Met County)	"2,833,557"	"39,827"	"24,501"	"15,326"	"70,895"	"76,312"	"-5,417"	"33,292"	"11,829"	"21,463"	-4	"2,864,925"
E08000025	Birmingham	"1,111,307"	"17,163"	"8,466"	"8,697"	"43,275"	"47,764"	"-4,489"	"15,409"	"6,364"	"9,045"	9	"1,124,569"
E08000026	Coventry	"345,385"	"4,555"	"2,755"	"1,800"	"17,042"	"17,543"	-501	"9,280"	"3,016"	"6,264"	-37	"352,911"
E08000027	Dudley	"316,464"	"3,725"	"3,062"	663	"9,328"	"9,299"	29	743	257	486	-8	"317,634"
E08000028	Sandwell	"319,455"	"4,839"	"2,929"	"1,910"	"12,467"	"13,606"	"-1,139"	"3,006"	529	"2,477"	9	"322,712"
E08000029	Solihull	"210,445"	"2,295"	"1,975"	320	"9,708"	"9,037"	671	601	284	317	10	"211,763"
E08000030	Walsall	"276,095"	"3,789"	"2,731"	"1,058"	"10,305"	"9,566"	739	"1,186"	364	822	1	"278,715"
E08000031	Wolverhampton	"254,406"	"3,461"	"2,583"	878	"9,611"	"10,338"	-727	"3,067"	"1,015"	"2,052"	12	"256,621"
E10000034	Worcestershire	"578,593"	"6,084"	"5,827"	257	"20,029"	"17,572"	"2,457"	"2,995"	"1,236"	"1,759"	-13	"583,053"
E07000234	Bromsgrove	"95,768"	925	"1,091"	-166	"5,479"	"4,485"	994	180	57	123	50	"96,769"
E07000235	Malvern Hills	"75,731"	557	979	-422	"4,439"	"3,819"	620	375	182	193	8	"76,130"
E07000236	Redditch	"84,743"	"1,101"	679	422	"2,600"	"3,181"	-581	607	233	374	13	"84,971"
E07000237	Worcester	"101,328"	"1,233"	827	406	"5,946"	"5,777"	169	804	371	433	2	"102,338"
E07000238	Wychavon	"121,520"	"1,166"	"1,160"	6	"6,308"	"5,336"	972	835	301	534	-89	"122,943"
E07000239	Wyre Forest	"99,503"	"1,102"	"1,091"	11	"3,601"	"3,318"	283	194	92	102	3	"99,902"
E12000006	EAST	"6,076,451"	"73,106"	"55,309"	"17,797"	"156,946"	"141,857"	"15,089"	"46,536"	"25,907"	"20,629"	576	"6,130,542"
E06000055	Bedford	"166,252"	"2,215"	"1,439"	776	"8,290"	"7,300"	990	"1,713"	"1,010"	703	30	"168,751"
E06000056	Central Bedfordshire	"274,022"	"3,319"	"2,019"	"1,300"	"15,116"	"12,748"	"2,368"	"1,783"	593	"1,190"	57	"278,937"
E06000032	Luton	"214,710"	"3,613"	"1,409"	"2,204"	"8,361"	"11,158"	"-2,797"	"4,226"	"1,550"	"2,676"	-2	"216,791"
E06000031	Peterborough	"193,980"	"3,149"	"1,476"	"1,673"	"7,979"	"8,623"	-644	"3,174"	"1,201"	"1,973"	113	"197,095"
E06000033	Southend-on-Sea	"178,702"	"2,292"	"1,897"	395	"8,069"	"7,424"	645	845	794	51	6	"179,799"
E06000034	Thurrock	"165,184"	"2,514"	"1,203"	"1,311"	"7,298"	"7,082"	216	"1,181"	866	315	-1	"167,025"
E10000003	Cambridgeshire	"647,238"	"7,532"	"5,297"	"2,235"	"29,586"	"30,416"	-830	"8,327"	"5,161"	"3,166"	131	"651,940"
E07000008	Cambridge	"130,907"	"1,418"	868	550	"13,448"	"14,928"	"-1,480"	"4,594"	"2,779"	"1,815"	7	"131,799"
E07000009	East Cambridgeshire	"87,306"	"1,035"	735	300	"4,220"	"4,240"	-20	729	534	195	44	"87,825"
E07000010	Fenland	"99,171"	"1,156"	"1,129"	27	"4,914"	"4,745"	169	"1,120"	303	817	-2	"100,182"
E07000011	Huntingdonshire	"174,966"	"2,086"	"1,421"	665	"7,793"	"7,823"	-30	878	877	1	64	"175,666"
E07000012	South Cambridgeshire	"154,888"	"1,837"	"1,144"	693	"9,803"	"9,272"	531	"1,006"	668	338	18	"156,468"
E10000012	Essex	"1,443,151"	"16,523"	"14,142"	"2,381"	"50,301"	"43,853"	"6,448"	"7,004"	"3,717"	"3,287"	73	"1,455,340"
E07000066	Basildon	"181,721"	"2,551"	"1,521"	"1,030"	"8,241"	"7,880"	361	651	376	275	-9	"183,378"
E07000067	Braintree	"150,360"	"1,678"	"1,452"	226	"7,128"	"6,854"	274	483	345	138	1	"150,999"
E07000068	Brentwood	"76,057"	855	751	104	"4,285"	"4,154"	131	332	238	94	0	"76,386"
E07000069	Castle Point	"89,173"	870	"1,046"	-176	"4,267"	"3,612"	655	140	63	77	2	"89,731"
E07000070	Chelmsford	"172,638"	"1,927"	"1,420"	507	"8,686"	"8,223"	463	957	570	387	94	"174,089"
E07000071	Colchester	"183,939"	"2,248"	"1,619"	629	"10,555"	"9,706"	849	"2,151"	994	"1,157"	61	"186,635"
E07000072	Epping Forest	"129,677"	"1,626"	"1,257"	369	"7,278"	"7,381"	-103	616	234	382	-4	"130,321"
E07000073	Harlow	"85,397"	"1,222"	705	517	"3,734"	"4,114"	-380	740	274	466	-5	"85,995"
E07000074	Maldon	"62,743"	576	626	-50	"3,384"	"2,792"	592	145	74	71	-6	"63,350"
E07000075	Rochford	"85,144"	754	829	-75	"4,285"	"3,744"	541	115	50	65	-5	"85,670"
E07000076	Tendring	"141,183"	"1,293"	"2,185"	-892	"7,044"	"4,802"	"2,242"	319	268	51	14	"142,598"
E07000077	Uttlesford	"85,119"	923	731	192	"5,317"	"4,494"	823	355	231	124	-70	"86,188"
E10000015	Hertfordshire	"1,166,339"	"14,728"	"9,250"	"5,478"	"50,400"	"49,591"	809	"8,408"	"4,393"	"4,015"	79	"1,176,720"
E07000095	Broxbourne	"96,217"	"1,262"	753	509	"4,822"	"4,981"	-159	491	280	211	1	"96,779"
E07000096	Dacorum	"151,350"	"1,929"	"1,218"	711	"7,984"	"7,757"	227	825	401	424	-20	"152,692"
E07000242	East Hertfordshire	"144,719"	"1,636"	"1,043"	593	"8,096"	"7,613"	483	868	354	514	0	"146,309"
E07000098	Hertsmere	"102,998"	"1,333"	880	453	"6,743"	"7,035"	-292	757	416	341	28	"103,528"
E07000099	North Hertfordshire	"131,696"	"1,578"	"1,166"	412	"7,356"	"6,824"	532	461	358	103	4	"132,747"
E07000240	St Albans	"145,797"	"1,845"	"1,065"	780	"7,817"	"8,263"	-446	872	721	151	0	"146,282"
E07000243	Stevenage	"86,469"	"1,191"	757	434	"4,231"	"4,290"	-59	453	217	236	1	"87,081"
E07000102	Three Rivers	"91,674"	"1,068"	759	309	"5,721"	"5,352"	369	380	258	122	59	"92,533"
E07000103	Watford	"96,403"	"1,508"	694	814	"6,162"	"7,237"	"-1,075"	"1,235"	609	626	5	"96,773"
E07000241	Welwyn Hatfield	"119,016"	"1,378"	915	463	"9,693"	"8,464"	"1,229"	"2,066"	779	"1,287"	1	"121,996"
E10000020	Norfolk	"884,978"	"9,141"	"9,772"	-631	"27,414"	"22,538"	"4,876"	"6,277"	"2,657"	"3,620"	27	"892,870"
E07000143	Breckland	"135,480"	"1,439"	"1,562"	-123	"6,956"	"5,684"	"1,272"	943	484	459	-56	"137,032"
E07000144	Broadland	"126,628"	"1,133"	"1,514"	-381	"6,595"	"5,514"	"1,081"	232	97	135	-8	"127,455"
E07000145	Great Yarmouth	"98,667"	"1,071"	"1,141"	-70	"3,604"	"3,536"	68	717	218	499	0	"99,164"
E07000146	King's Lynn and West Norfolk	"151,013"	"1,641"	"1,770"	-129	"5,797"	"5,382"	415	865	648	217	73	"151,589"
E07000147	North Norfolk	"103,308"	763	"1,398"	-635	"4,821"	"4,100"	721	461	128	333	25	"103,752"
