OrganisationID,OrganisationCode,OrganisationType,SubType,Sector,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude,ParentODSCode,ParentName
18085,NLL09,Hospital,Hospital,Independent Sector,Visible,TRUE,Stratton Hospital,Hospital Road,Stratton,,Bude,Cornwall,EX23 9BP,50.83023453,-4.516191959,NLL,Peninsula Community Health C.I.C
18087,NLL13,Hospital,Hospital,Independent Sector,Visible,TRUE,St Austell Community Hospital,Porthpean Road,,,St. Austell,Cornwall,PL26 6AD,50.32714844,-4.77303791,NLL,Peninsula Community Health C.I.C
18088,NLL14,Hospital,Hospital,Independent Sector,Visible,TRUE,Fowey Hospital,Park Road,,,Fowey,Cornwall,PL23 1EE,50.33849716,-4.639194489,NLL,Peninsula Community Health C.I.C
18089,NLL15,Hospital,Hospital,Independent Sector,Visible,TRUE,Newquay Hospital,St. Thomas Road,,,Newquay,Cornwall,TR7 1RQ,50.41105652,-5.074211121,NLL,Peninsula Community Health C.I.C
18090,NLL16,Hospital,Hospital,Independent Sector,Visible,TRUE,Falmouth Hospital,Trescobeas Road,,,Falmouth,Cornwall,TR11 2JA,50.15569305,-5.086129189,NLL,Peninsula Community Health C.I.C
18091,NLL17,Hospital,Hospital,Independent Sector,Visible,TRUE,Camborne Redruth Community Hospital,Barncoose Terrace,Barncoose,,Redruth,Cornwall,TR15 3ER,50.22941589,-5.244449139,NLL,Peninsula Community Health C.I.C
18092,NLL18,Hospital,Hospital,Independent Sector,Visible,TRUE,Helston Community Hospital,Meneage Road,,,Helston,Cornwall,TR13 8DR,50.09195709,-5.264919281,NLL,Peninsula Community Health C.I.C
18093,NLL19,Hospital,Hospital,Independent Sector,Visible,TRUE,Poltair Hospital,Madron,,,Penzance,Cornwall,TR20 8SR,50.1299324,-5.560438633,NLL,Peninsula Community Health C.I.C
18094,NLL20,Hospital,Hospital,Independent Sector,Visible,TRUE,Edward Hain Community Hospital,Albany Terrace,,,St. Ives,Cornwall,TR26 2BS,50.20769501,-5.479034901,NLL,Peninsula Community Health C.I.C
18095,NLL21,Hospital,Hospital,Independent Sector,Visible,TRUE,St Mary's Hospital,Belmont,St. Mary's,,Isles Of Scilly,Cornwall,TR21 0LE,49.91307831,-6.309319973,NLL,Peninsula Community Health C.I.C
18102,NLT02,Hospital,Hospital,NHS Sector,Visible,TRUE,Clevedon Community Hospital,Clevedon Community Hospital,Old Street,,Clevedon,Avon,BS21 6BS,51.43719482,-2.847192764,NLT,North Somerset Community Partnership Community Interest Company
18138,NMP01,Hospital,Hospital,Independent Sector,Visible,FALSE,Bridgewater Hospital,120 Princess Road,,,Manchester,Greater Manchester,M15 5AT,53.45975494,-2.245453835,NMP,Bridgewater Hospital (Manchester) Ltd
18143,NMV02,Hospital,Hospital,Independent Sector,Visible,TRUE,Partnerships in Care Stockton Hall Hospital,Stockton Hall,The Village,Stockton On The Forest,York,North Yorkshire,YO32 9UN,53.99534225,-1.002782941,NMV,Partnerships In Care Ltd
18216,NNW08,Hospital,Hospital,Independent Sector,Visible,FALSE,Navas [Mansfield Community Hospital],Mansfield Community Hospital,Stockwell Gate,,Mansfield,Nottinghamshire,NG18 5QJ,53.14136887,-1.205892682,NNW,Navas
18224,8HN92,Hospital,Hospital,Independent Sector,Visible,TRUE,The Retreat Hospital York,107 Heslington Road,,,York,North Yorkshire,YO10 5BN,53.95082474,-1.063120484,NPE,The Retreat Hospital
18271,NQ106,Hospital,Hospital,Independent Sector,Visible,TRUE,Fryatt Hospital  Harwich,419 Main Road,,,Harwich,Essex,CO12 4EX,51.93336868,1.260707498,NQ1,Anglian Community Enterprise Community Interest Company (ACE CIC)
18272,NQ108,Hospital,Hospital,Independent Sector,Visible,TRUE,Clacton Hospital,,Tower Road,,Clacton,Essex,CO15 1LH,51.78607941,1.148187518,NQ1,Anglian Community Enterprise Community Interest Company (ACE CIC)
18289,NQ901,Hospital,Hospital,Independent Sector,Visible,FALSE,Milton Park Hospital,The Lane,Wyboston,,Bedford,Bedfordshire,MK44 3AS,52.19832611,-0.31028071,NQ9,Brookdale Healthcare Ltd (T/A Brookdale Care)
18305,NQM01,Hospital,Hospital,Independent Sector,Visible,TRUE,Orthopaedics and Spine Specialist Hospital,1 Stirling Way,Bretton,,Peterborough,Cambridgeshire,PE3 8YA,52.60493088,-0.283022165,NQM,Orthopaedics and Spine Specialist Hospital
18309,NR500,Hospital,Hospital,Independent Sector,Visible,TRUE,Mount Gould Local Care Centre,,200 Mount Gould Road,Mount Gould,Plymouth,Devon,PL4 7PY,50.37882996,-4.116810322,NR5,Plymouth Community Healthcare (Cic)
18314,NR510,Hospital,Hospital,Independent Sector,Visible,TRUE,Lee Mill Hospital,,Beech Road,,,,PL21 9HL,50.39037323,-3.961708546,NR5,Plymouth Community Healthcare (Cic)
18351,NT202,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Bournemouth Hospital,,67 Landsdowne Road,,Bournemouth,Dorset,BH1 1RW,50.7304306,-1.870912552,NT2,Nuffield Health
18352,NT204,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Brentwood Hospital,,Shenfield Road,,Brentwood,Essex,CM15 8EH,51.62356949,0.312702835,NT2,Nuffield Health
18353,NT205,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Brighton Hospital,,Warren Road,Woodingdean,Brighton,,BN2 6DX,50.83451843,-8.19E-02,NT2,Nuffield Health
18354,NT206,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Bristol Hospital (Chesterfield),3 Clifton Hill,Clifton,,Bristol,Avon,BS8 1BN,51.45360947,-2.61598444,NT2,Nuffield Health
18356,NT209,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Cambridge Hospital,Nuffield Health Cambridge Hospital,4 Trumpington Road,,Cambridge,Cambridgeshire,CB2 8AF,52.19035339,0.123558596,NT2,Nuffield Health
18357,NT210,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  The Grosvenor Hospital  Chester,Nuffield Health  The Grosvenor Hospital,Wrexham Road,,Chester,Cheshire,CH4 7QP,53.17634583,-2.895246744,NT2,Nuffield Health
18358,NT211,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Cheltenham Hospital,,Hatherley Lane,,Cheltenham,Gloucestershire,GL51 6SY,51.89186859,-2.129745483,NT2,Nuffield Health
18359,NT212,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Chichester Hospital,,78 Broyle Road,,Chichester,,PO19 6WB,50.84802628,-0.78015399,NT2,Nuffield Health
18360,NT213,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Derby Hospital,,Rykneld Road,Littleover,Derby,Derbyshire,DE23 4SN,52.89357758,-1.530184627,NT2,Nuffield Health
18361,NT214,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Wessex Hospital,Nuffield Health Wessex Hospital,Winchester Road,Chandlers Ford,Eastleigh,Hampshire,SO53 2DW,50.99697495,-1.35935092,NT2,Nuffield Health
18362,NT215,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Exeter Hospital,,Wonford Road,,Exeter,Devon,EX2 4UG,50.71631622,-3.511257648,NT2,Nuffield Health
18363,NT216,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Guildford Hospital,,Stirling Road,,Guildford,Surrey,GU2 7RF,51.24169922,-0.612484932,NT2,Nuffield Health
18365,NT218,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Haywards Heath Hospital,,Burrell Road,,Haywards Heath,,RH16 1UD,51.00840378,-0.106121421,NT2,Nuffield Health
18366,NT219,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Hereford Hospital,,Venns Lane,,Hereford,Herefordshire,HR1 1DF,52.06396484,-2.699823618,NT2,Nuffield Health
18367,NT222,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Ipswich Hospital,,Foxhall Road,,Ipswich,Suffolk,IP4 5SW,52.04750824,1.228945255,NT2,Nuffield Health
18368,NT224,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Warwickshire Hospital,,The Chase,Old Milverton Lane,Leamington Spa,Warwickshire,CV32 6RW,52.3089447,-1.54334712,NT2,Nuffield Health
18369,NT225,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Leeds Hospital,,2 Leighton Street,,Leeds,West Yorkshire,LS1 3EB,53.80060196,-1.554273129,NT2,Nuffield Health
18370,NT226,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Leicester Hospital,,Scraptoft Lane,,Leicester,Leicestershire,LE5 1HY,52.64385223,-1.07143712,NT2,Nuffield Health
18371,NT229,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Newcastle-upon-Tyne Hospital,,Clayton Road,,Newcastle Upon Tyne,,NE2 1JP,54.98736954,-1.604894638,NT2,Nuffield Health
18372,NT230,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  North Staffordshire Hospital,,Clayton Road,,Newcastle Under Lyme,Staffordshire,ST5 4DB,52.98740768,-2.223027706,NT2,Nuffield Health
18373,NT233,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Plymouth Hospital,,Derriford Road,,Plymouth,Devon,PL6 8BG,50.41867447,-4.114448071,NT2,Nuffield Health
18374,NT235,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Shrewsbury Hospital,,Longden Road,,Shrewsbury,Shropshire,SY3 9DP,52.69225693,-2.771440506,NT2,Nuffield Health
18375,NT237,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Tees Hospital,Nuffield Health Tees Hospital,Junction Road,Norton,Stockton-on-Tees,Cleveland,TS20 1PX,54.59342575,-1.335218549,NT2,Nuffield Health
18376,NT238,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Taunton Hospital,,Staplegrove Elm,,Taunton,Somerset,TA2 6AN,51.0297699,-3.127352238,NT2,Nuffield Health
18377,NT239,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Tunbridge Wells Hospital,,Kingswood Road,,Tunbridge Wells,Kent,TN2 4UL,51.13152695,0.278067738,NT2,Nuffield Health
18378,NT241,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Woking Hospital,,Shores Road,,Woking,Surrey,GU21 4BY,51.33223724,-0.561422408,NT2,Nuffield Health
18379,NT242,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  Wolverhampton Hospital,,Wood Road,,Wolverhampton,,WV6 8LE,52.59363556,-2.171331167,NT2,Nuffield Health
18380,NT244,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  The Manor Hospital  Oxford,,Beech Road,Headington,Oxford,Oxfordshire,OX3 7RP,51.76033783,-1.215462685,NT2,Nuffield Health
18381,NT245,Hospital,Hospital,Independent Sector,Visible,TRUE,Nuffield Health  York Hospital,,Haxby Road,,York,North Yorkshire,YO31 8TA,53.9756279,-1.076682925,NT2,Nuffield Health
18385,NT301,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire South Bank Hospital,,139 Bath Road,,Worcester,Worcestershire,WR5 3YB,52.18123245,-2.215999126,NT3,Spire Healthcare
18386,NT302,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Bristol Hospital,,Redland Hill,,Bristol,,BS6 6UT,51.47204971,-2.61485076,NT3,Spire Healthcare
18388,NT304,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Southampton Hospital,Chalybeate Hospital,Chalybeate Close,,Southampton,Hampshire,SO16 6UY,50.93061066,-1.432714343,NT3,Spire Healthcare
18389,NT305,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Portsmouth Hospital,Bartons Road,,,Havant,Hampshire,PO9 5NP,50.86878204,-0.955235541,NT3,Spire Healthcare
18390,NT308,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Gatwick Park Hospital,Povey Cross Road,,,Horley,Surrey,RH6 0BB,51.16768265,-0.183382452,NT3,Spire Healthcare
18391,NT309,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Sussex Hospital,,The Ridge,,St. Leonards-on-Sea,,TN37 7PT,50.88761902,0.562030017,NT3,Spire Healthcare
18392,NT310,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Tunbridge Wells Hospital,Fordcombe Road,Fordcombe,,Tunbridge Wells,Kent,TN3 0RD,51.13451385,0.188174039,NT3,Spire Healthcare
18393,NT312,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Alexandra Hospital,Impton Lane,,,Chatham,Kent,ME5 9PG,51.32793427,0.526541173,NT3,Spire Healthcare
18394,NT313,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Wellesley Hospital,Eastern Avenue,,,Southend-on-Sea,Essex,SS2 4XH,51.55467606,0.727403641,NT3,Spire Healthcare
18395,NT314,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Roding Hospital,Roding Lane South,,,Ilford,Essex,IG4 5PZ,51.58715439,4.31E-02,NT3,Spire Healthcare
18396,NT315,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Bushey Hospital,Heathbourne Road,Bushey Heath,,Bushey,Hertfordshire,WD23 1RD,51.63752747,-0.331552029,NT3,Spire Healthcare
18397,NT316,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Harpenden Hospital,Spire Harpenden Hospital,Ambrose Lane,,Harpenden,,AL5 4BP,51.82812881,-0.360377461,NT3,Spire Healthcare
18398,NT317,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Cambridge Lea Hospital,30 New Road,Impington,,Cambridge,Cambridgeshire,CB24 9EL,52.24474716,0.113421559,NT3,Spire Healthcare
18400,NT319,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Hartswood Hospital,Eagle Way,,,Brentwood,Essex,CM13 3LE,51.60043716,0.293129832,NT3,Spire Healthcare
18401,NT320,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Parkway Hospital,1 Damson Parkway,,,Solihull,West Midlands,B91 2PP,52.42188644,-1.763121605,NT3,Spire Healthcare
18402,NT321,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Little Aston Hospital,Little Aston Hall Drive,Little Aston,,Sutton Coldfield,,B74 3UP,52.59964752,-1.875775456,NT3,Spire Healthcare
18403,NT322,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Leicester Hospital,,Gartree Road,,Leicester,Leicestershire,LE2 2FF,52.61464691,-1.083427668,NT3,Spire Healthcare
18404,NT324,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Cheshire Hospital,,Fir Tree Close,Stretton,Warrington,Cheshire,WA4 4LU,53.33747482,-2.576314688,NT3,Spire Healthcare
18405,NT325,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Murrayfield Hospital,Holmwood Drive,Heswall,,Wirral,Merseyside,CH61 1AU,53.34925079,-3.080067873,NT3,Spire Healthcare
18406,NT327,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Manchester Hospital,Russell Road,,,Manchester,Greater Manchester,M16 8AJ,53.45331573,-2.26320076,NT3,Spire Healthcare
18407,NT332,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Leeds Hospital,,Jackson Avenue,,Leeds,West Yorkshire,LS8 1NT,53.83213043,-1.514144778,NT3,Spire Healthcare
18408,NT333,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Washington Hospital,Picktree Lane,,,Washington,Tyne and Wear,NE38 9JZ,54.87942886,-1.559255958,NT3,Spire Healthcare
18409,NT337,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Liverpool Hospital,Spire Liverpool Hospital,57 Greenbank Road,,Liverpool,,L18 1HQ,53.38528442,-2.924102306,NT3,Spire Healthcare
18410,NT339,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Regency Hospital,West Street,,,Macclesfield,Cheshire,SK11 8DW,53.26012802,-2.137799501,NT3,Spire Healthcare
18412,NT343,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Thames Valley Hospital,Wexham Street,Wexham,,Slough,Berkshire,SL3 6NH,51.54277802,-0.572401106,NT3,Spire Healthcare
18413,NT344,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Dunedin Hospital,16 Bath Road,,,Reading,Berkshire,RG1 6NS,51.45022202,-0.986806393,NT3,Spire Healthcare
18414,NT345,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Clare Park Hospital,Crondall Lane,,,Farnham,Surrey,GU10 5XX,51.22512436,-0.847087622,NT3,Spire Healthcare
18415,NT346,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire St Saviours Hospital,71-73 Seabrook Road,,,Hythe,Kent,CT21 5BU,51.07292938,1.107793212,NT3,Spire Healthcare
18416,NT347,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Fylde Coast Hospital,,St. Walburgas Road,,Blackpool,Lancashire,FY3 8BP,53.82605743,-3.01955533,NT3,Spire Healthcare
18417,NT348,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Elland Hospital,Elland Lane,,,Elland,West Yorkshire,HX5 9EB,53.68875122,-1.828640819,NT3,Spire Healthcare
18419,NT350,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Methley Park Hospital,Methley Lane,Methley,,Leeds,West Yorkshire,LS26 9HG,53.74044418,-1.423310161,NT3,Spire Healthcare
18420,NT351,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Hull and East Riding Hospital,Lowfield Road,Anlaby,,Hull,East Yorkshire,HU10 7AZ,53.73937988,-0.435083091,NT3,Spire Healthcare
18421,NT364,Hospital,Hospital,Independent Sector,Visible,TRUE,The Montefiore Hospital,,2 Montefiore Road,,Hove,East Sussex,BN3 1RD,50.83179092,-0.154916137,NT3,Spire Healthcare
18423,NT401,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Alexandra Hospital,The Alexandra Hospital,Mill Lane,,Cheadle,Cheshire,SK8 2PX,53.39727783,-2.21581316,NT4,BMI Healthcare
18425,NT403,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Beardwood Hospital,,Preston New Road,,Blackburn,Lancashire,BB2 7AE,53.75514221,-2.513254166,NT4,BMI Healthcare
18426,NT404,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Beaumont Hospital,Chorley New Road,Lostock,,Bolton,Lancashire,BL6 4LA,53.58149338,-2.499290466,NT4,BMI Healthcare
18427,NT405,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Bishops Wood Hospital,,Rickmansworth Road,,Northwood,Middlesex,HA6 2JW,51.61646271,-0.446506768,NT4,BMI Healthcare
18428,NT406,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Blackheath Hospital,,40 - 42 Lee Terrace,,London,,SE3 9UD,51.46347427,6.28E-03,NT4,BMI Healthcare
18430,NT408,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Chaucer Hospital,,Nackington Road,,Canterbury,Kent,CT4 7AR,51.26169968,1.087486744,NT4,BMI Healthcare
18431,NT409,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Chelsfield Park Hospital,,Bucks Cross Road,,Orpington,Kent,BR6 7RG,51.35839462,0.130828917,NT4,BMI Healthcare
18432,NT410,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Chiltern Hospital,,London Road,,Great Missenden,Buckinghamshire,HP16 0EN,51.69051743,-0.693654656,NT4,BMI Healthcare
18433,NT411,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Clementine Churchill Hospital,,Sudbury Hill,,Harrow,Middlesex,HA1 3RX,51.56496811,-0.332694322,NT4,BMI Healthcare
18434,NT412,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Droitwich Spa Hospital,,St Andrews Road,,Droitwich,Worcestershire,WR9 8DN,52.26549149,-2.150880814,NT4,BMI Healthcare
18435,NT413,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Esperance Hospital,,1 Hartington Place,,Eastbourne,,BN21 3BG,50.76611328,0.287044644,NT4,BMI Healthcare
18436,NT414,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Fawkham Manor Hospital,Manor Lane,Fawkham,,Longfield,Kent,DA3 8ND,51.37264633,0.286454886,NT4,BMI Healthcare
18438,NT416,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Hendon Hospital,BMI Hendon Hospital,46-50 Sunny Gardens Road,,London,,NW4 1RP,51.59368515,-0.224648476,NT4,BMI Healthcare
18439,NT417,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Goring Hall Hospital,Bodiam Avenue,Goring-By-Sea,,Worthing,West Sussex,BN12 5AT,50.81155777,-0.432196349,NT4,BMI Healthcare
18441,NT419,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Harbour Hospital,,St Mary's Road,,Poole,Dorset,BH15 2BH,50.72200775,-1.975681186,NT4,BMI Healthcare
18442,NT420,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Highfield Hospital,,Manchester Road,,Rochdale,Lancashire,OL11 4LZ,53.60650635,-2.167490244,NT4,BMI Healthcare
18443,NT421,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Kings Oak Hospital,,The Ridgeway,,Enfield,Middlesex,EN2 8SD,51.66794205,-0.105407663,NT4,BMI Healthcare
18444,NT422,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The London Independent Hospital,,1 Beaumont Square,,London,,E1 4NL,51.5203743,-0.046687897,NT4,BMI Healthcare
18445,NT423,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Manor Hospital,,Church End,,Biddenham,Bedfordshire,MK40 4AW,52.13839722,-0.513121843,NT4,BMI Healthcare
18446,NT424,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Meriden Hospital,University Hospital Site,Clifford Bridge Road,,Coventry,West Midlands,CV2 2LQ,52.42331696,-1.438244224,NT4,BMI Healthcare
18449,NT427,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Park Hospital,Sherwood Lodge Drive,Burntstump Country Park,,Arnold,Nottinghamshire,NG5 8RX,53.04961777,-1.142835975,NT4,BMI Healthcare
18450,NT428,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Princess Margaret Hospital,,Osborne Road,,Windsor,Berkshire,SL4 3SJ,51.47467804,-0.610352933,NT4,BMI Healthcare
18451,NT429,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Priory Hospital,Priory Road,Edgbaston,,Birmingham,West Midlands,B5 7UG,52.45643234,-1.911408663,NT4,BMI Healthcare
18452,NT430,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Ridgeway Hospital,Moormead Road,Wroughton,,Swindon,Wiltshire,SN4 9DD,51.52533722,-1.786132216,NT4,BMI Healthcare
18453,NT431,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Runnymede Hospital,Guildford Road,Ottershaw,,Chertsey,Surrey,KT16 0RQ,51.37799835,-0.524368167,NT4,BMI Healthcare
18454,NT432,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Sandringham Hospital,,Gayton Road,,King's Lynn,Norfolk,PE30 4HJ,52.75780869,0.447753519,NT4,BMI Healthcare
18455,NT433,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Sarum Road Hospital,,Sarum Road,,Winchester,Hampshire,SO22 5HA,51.06130219,-1.338494301,NT4,BMI Healthcare
18456,NT434,Hospital,UNKNOWN,Independent Sector,Visible,TRUE,BMI The Saxon Clinic,Chadwick Drive,Eaglestone West,,Milton Keynes,Buckinghamshire,MK6 5LR,52.02561569,-0.740350008,NT4,BMI Healthcare
18457,NT435,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Shelburne Hospital,,Queen Alexandra Road,,High Wycombe,Buckinghamshire,HP11 2TR,51.62589645,-0.753515184,NT4,BMI Healthcare
18458,NT436,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Shirley Oaks Hospital,,Poppy Lane,,Croydon,Surrey,CR9 8AB,51.38230133,-5.63E-02,NT4,BMI Healthcare
18459,NT437,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Sloane Hospital,,Albemarle Road,,Beckenham,Kent,BR3 5HS,51.40833282,-4.35E-03,NT4,BMI Healthcare
18460,NT438,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Somerfield Hospital,,63-77 London Road,,Maidstone,Kent,ME16 0DU,51.27739334,0.507577181,NT4,BMI Healthcare
18461,NT439,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The South Cheshire Private Hospital,,Leighton,,Crewe,Cheshire,CW1 4QP,53.11856079,-2.478487968,NT4,BMI Healthcare
18462,NT440,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Thornbury Hospital,,312 Fulwood Road,,Sheffield,,S10 3BR,53.3743515,-1.5175035,NT4,BMI Healthcare
18463,NT441,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Three Shires Hospital,The Avenue,Cliftonville,,Northampton,Northamptonshire,NN1 5DR,52.23614502,-0.874308646,NT4,BMI Healthcare
18464,NT443,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Winterbourne Hospital,,Herringston Road,,Dorchester,Dorset,DT1 2DR,50.70098495,-2.441909313,NT4,BMI Healthcare
