,,,,,,,,,,,,,,,,,,,,,,,,
,RAX,London Commissioning Region,Kingston Hospital NHS Foundation Trust,"8,797",820,0,"9,617",611,3,0,614,93.1%,93.6%,"1,726",0,0,"1,726",564,"2,290",40,0,,,
,RJ2,London Commissioning Region,Lewisham And Greenwich NHS Trust,"18,144",0,"4,882","23,026","2,298",0,68,"2,366",87.3%,89.7%,"3,789",0,0,"3,789","1,231","5,020",531,0,,,
,R1K,London Commissioning Region,London North West Healthcare NHS Trust,"11,472",0,"17,074","28,546","3,228",0,221,"3,449",71.9%,87.9%,"4,654",0,0,"4,654",664,"5,318","1,383",0,,,
,RP6,London Commissioning Region,Moorfields Eye Hospital NHS Foundation Trust,0,"8,157",0,"8,157",0,319,0,319,N/A,96.1%,0,12,0,12,153,165,0,0,,,
,RAT,London Commissioning Region,North East London NHS Foundation Trust,0,0,"4,563","4,563",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RAP,London Commissioning Region,North Middlesex University Hospital NHS Trust,"14,538",0,0,"14,538","3,306",0,0,"3,306",77.3%,77.3%,"2,681",0,0,"2,681",321,"3,002",719,0,,,
,Y02973,London Commissioning Region,Orchard Village Walk-In-Centre,0,0,721,721,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,Y02585,London Commissioning Region,Orient Practice,0,0,969,969,0,0,2,2,N/A,99.8%,0,0,0,0,0,0,0,0,,,
,AF003,London Commissioning Region,Parkway MIU,0,0,471,471,0,0,0,0,N/A,100.0%,0,0,0,0,471,471,0,0,,,
,AF002,London Commissioning Region,Purley MIU,0,0,655,655,0,0,0,0,N/A,100.0%,0,0,0,0,655,655,0,0,,,
,RT3,London Commissioning Region,Royal Brompton & Harefield NHS Foundation Trust,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,0,512,512,0,0,,,
,RAL,London Commissioning Region,Royal Free London NHS Foundation Trust,"18,541",0,"3,192","21,733","1,587",0,5,"1,592",91.4%,92.7%,"3,858",0,0,"3,858",596,"4,454",636,0,,,
,RAN,London Commissioning Region,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,0,31,31,0,0,,,
,Y03047,London Commissioning Region,St Andrews Walk-In Centre,0,0,"2,329","2,329",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RJ7,London Commissioning Region,St George's University Hospitals NHS Foundation Trust,"12,630",0,"1,298","13,928","1,520",0,0,"1,520",88.0%,89.1%,"3,516",0,0,"3,516",651,"4,167",0,0,,,
,F84747,London Commissioning Region,The Barkantine Practice,0,0,"2,595","2,595",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RAS,London Commissioning Region,The Hillingdon Hospitals NHS Foundation Trust,"4,775",0,"8,274","13,049",816,0,14,830,82.9%,93.6%,"1,861",0,0,"1,861",215,"2,076",27,0,,,
,Y02987,London Commissioning Region,The Practice Loxford,0,0,"1,087","1,087",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,E84068,London Commissioning Region,The Ridgeway Surgery,0,0,"2,627","2,627",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RKE,London Commissioning Region,The Whittington Hospital NHS Trust,"8,058",0,0,"8,058",606,0,0,606,92.5%,92.5%,"1,237",0,0,"1,237",119,"1,356",187,0,,,
,RRV,London Commissioning Region,University College London Hospitals NHS Foundation Trust,"11,503",0,0,"11,503","1,184",0,0,"1,184",89.7%,89.7%,"1,680",0,0,"1,680",554,"2,234",186,0,,,
,Y02147,London Commissioning Region,Urgent Care Centre,0,0,"9,360","9,360",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,Y03201,London Commissioning Region,Waldron - Hurley Unregistered Practice,0,0,"2,565","2,565",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,NL7,Midlands And East Of England Commissioning Region,Assura Vertis Urgent Care Centres (Birmingham),0,0,"4,938","4,938",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RDD,Midlands And East Of England Commissioning Region,Basildon And Thurrock University Hospitals NHS Foundation Trust,"10,862",0,0,"10,862","1,423",0,0,"1,423",86.9%,86.9%,"2,096",0,0,"2,096",228,"2,324",180,0,,,
,RC1,Midlands And East Of England Commissioning Region,Bedford Hospital NHS Trust,"5,759",0,0,"5,759",284,0,0,284,95.1%,95.1%,"1,689",0,0,"1,689",205,"1,894",43,0,,,
,RQ3,Midlands And East Of England Commissioning Region,Birmingham Children's Hospital NHS Foundation Trust,"5,311",0,0,"5,311",639,0,0,639,88.0%,88.0%,"1,093",0,0,"1,093",314,"1,407",0,0,,,
,RYW,Midlands And East Of England Commissioning Region,Birmingham Community Healthcare NHS Trust,0,516,0,516,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,M85813,Midlands And East Of England Commissioning Region,Birmingham WIC,0,0,"3,063","3,063",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RLU,Midlands And East Of England Commissioning Region,Birmingham Women's NHS Foundation Trust,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,0,138,138,0,0,,,
,RJF,Midlands And East Of England Commissioning Region,Burton Hospitals NHS Foundation Trust,"5,271",0,"4,400","9,671",468,0,0,468,91.1%,95.2%,"1,581",0,0,"1,581",684,"2,265",52,0,,,
,RGT,Midlands And East Of England Commissioning Region,Cambridge University Hospitals NHS Foundation Trust,"9,105",0,"2,938","12,043",897,0,1,898,90.1%,92.5%,"3,113",0,532,"3,645",0,"3,645",0,0,,,
,RFS,Midlands And East Of England Commissioning Region,Chesterfield Royal Hospital NHS Foundation Trust,"6,425",0,0,"6,425",392,0,0,392,93.9%,93.9%,"1,819",0,0,"1,819",920,"2,739",45,0,,,
,NQ108,Midlands And East Of England Commissioning Region,Clacton Hospital,0,0,"2,125","2,125",0,0,3,3,N/A,99.9%,0,0,0,0,0,0,3,0,,,
,RDE,Midlands And East Of England Commissioning Region,Colchester Hospital University NHS Foundation Trust,"6,696",0,0,"6,696","1,279",0,0,"1,279",80.9%,80.9%,"2,350",0,0,"2,350","1,206","3,556",263,0,,,
,Y03571,Midlands And East Of England Commissioning Region,Corby Urgent Care Centre,0,0,"5,318","5,318",0,0,5,5,N/A,99.9%,0,0,0,0,0,0,0,0,,,
,RYG,Midlands And East Of England Commissioning Region,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,0,112,112,0,0,,,
,Y02613,Midlands And East Of England Commissioning Region,Coventry NHS Healthcare Ctr,0,0,"4,380","4,380",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RTG,Midlands And East Of England Commissioning Region,Derby Teaching Hospitals NHS Foundation Trust,"11,322",0,"4,198","15,520",904,0,10,914,92.0%,94.1%,"3,456",0,0,"3,456","1,470","4,926",89,0,,,
,RY8,Midlands And East Of England Commissioning Region,Derbyshire Community Health Services NHS Foundation Trust,0,0,"3,802","3,802",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,NNJ,Midlands And East Of England Commissioning Region,Derbyshire Health United Ltd,0,0,"1,791","1,791",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RWH,Midlands And East Of England Commissioning Region,East And North Hertfordshire NHS Trust,"8,674",0,"4,269","12,943","2,876",0,0,"2,876",66.8%,77.8%,"3,970",0,0,"3,970",643,"4,613",0,0,,,
,NAX,Midlands And East Of England Commissioning Region,East Coast Community Healthcare C.I.C,0,0,392,392,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,NQ106,Midlands And East Of England Commissioning Region,Fryatt Hospital,0,0,523,523,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RLT,Midlands And East Of England Commissioning Region,George Eliot Hospital NHS Trust,"5,884",0,0,"5,884",272,0,0,272,95.4%,95.4%,"1,200",0,0,"1,200",53,"1,253",72,0,,,
,NTPAL,Midlands And East Of England Commissioning Region,Greet General Practice & Urgent Care Centre,0,0,"2,019","2,019",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,Y02662,Midlands And East Of England Commissioning Region,Greyfriars Health Centre,0,0,936,936,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,NEH06,Midlands And East Of England Commissioning Region,Haverstock Healthcare (Cheshunt Community Hospital),0,0,"1,650","1,650",0,0,1,1,N/A,99.9%,0,0,0,0,0,0,0,0,,,
,RR1,Midlands And East Of England Commissioning Region,Heart Of England NHS Foundation Trust,"18,152",0,"3,271","21,423","2,641",0,46,"2,687",85.5%,87.5%,"5,935",0,"1,114","7,049","1,904","8,953",820,0,,,
,RY4,Midlands And East Of England Commissioning Region,Hertfordshire Community NHS Trust,0,0,776,776,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RQQ,Midlands And East Of England Commissioning Region,Hinchingbrooke Health Care NHS Trust,"3,626",0,0,"3,626",190,0,0,190,94.8%,94.8%,949,0,0,949,222,"1,171",49,0,,,
,RGQ,Midlands And East Of England Commissioning Region,Ipswich Hospital NHS Trust,"6,865",0,0,"6,865",322,0,0,322,95.3%,95.3%,"1,907",0,0,"1,907",919,"2,826",9,0,,,
,RGP,Midlands And East Of England Commissioning Region,James Paget University Hospitals NHS Foundation Trust,"5,618",0,0,"5,618",249,0,0,249,95.6%,95.6%,972,0,0,972,314,"1,286",26,0,,,
,RNQ,Midlands And East Of England Commissioning Region,Kettering General Hospital NHS Foundation Trust,"6,880",0,0,"6,880",786,0,0,786,88.6%,88.6%,"1,703",0,0,"1,703","1,076","2,779",198,0,,,
,C82038,Midlands And East Of England Commissioning Region,Latham House Medical Practice,0,0,328,328,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RY5,Midlands And East Of England Commissioning Region,Lincolnshire Community Health Services NHS Trust,0,0,"12,581","12,581",0,0,61,61,N/A,99.5%,0,0,37,37,27,64,0,0,,,
,NJS05,Midlands And East Of England Commissioning Region,Loughborough Urgent Care Centre,0,0,"3,585","3,585",0,0,102,102,N/A,97.2%,0,0,0,0,0,0,0,0,,,
,RC9,Midlands And East Of England Commissioning Region,Luton And Dunstable University Hospital NHS Foundation Trust,"8,049",0,"3,504","11,553",166,0,1,167,97.9%,98.6%,"2,168",0,0,"2,168","1,197","3,365",3,0,,,
,Y02421,Midlands And East Of England Commissioning Region,Malling Health - Telford WIC,0,0,584,584,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,C82009,Midlands And East Of England Commissioning Region,Market Harborough Med.Ctr,0,0,364,364,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,NLO11,Midlands And East Of England Commissioning Region,Market Harborough Urgent Care Centre,0,0,539,539,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,NLO09,Midlands And East Of England Commissioning Region,Melton Mowbray Urgent Care Centre,0,0,319,319,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RQ8,Midlands And East Of England Commissioning Region,Mid Essex Hospital Services NHS Trust,"7,083",0,362,"7,445",766,0,5,771,89.2%,89.6%,"1,995",0,0,"1,995",691,"2,686",124,0,,,
,RD8,Midlands And East Of England Commissioning Region,Milton Keynes University Hospital NHS Foundation Trust,"6,902",0,"4,635","11,537",607,0,9,616,91.2%,94.7%,"1,411",0,0,"1,411",892,"2,303",115,0,,,
,RM1,Midlands And East Of England Commissioning Region,Norfolk And Norwich University Hospitals NHS Foundation Trust,"9,034",0,815,"9,849","1,875",0,0,"1,875",79.2%,81.0%,"2,799",0,0,"2,799","2,109","4,908",348,0,,,
,Y02646,Midlands And East Of England Commissioning Region,North Colchester Healthcare Centre,0,0,"4,778","4,778",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RNS,Midlands And East Of England Commissioning Region,Northampton General Hospital NHS Trust,"8,485",956,0,"9,441","1,198",2,0,"1,200",85.9%,87.3%,"2,540",0,0,"2,540","1,017","3,557",285,0,,,
,NMH01,Midlands And East Of England Commissioning Region,Norwich Practices Ltd (Castle Mall),0,0,"5,209","5,209",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,NR3,Midlands And East Of England Commissioning Region,Nottingham Citycare Partnership,0,0,"4,699","4,699",0,0,186,186,N/A,96.0%,0,0,0,0,0,0,0,0,,,
,RX1,Midlands And East Of England Commissioning Region,Nottingham University Hospitals NHS Trust,"14,698","1,411",182,"16,291","3,076",3,0,"3,079",79.1%,81.1%,"3,849",0,0,"3,849","2,262","6,111",433,2,,,
,NLO10,Midlands And East Of England Commissioning Region,Oadby & Wigston Urgent Care Centre,0,0,"2,263","2,263",0,0,42,42,N/A,98.1%,0,0,0,0,0,0,0,0,,,
,C82010,Midlands And East Of England Commissioning Region,Oakham Medical Practice,0,0,346,346,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,NLO12,Midlands And East Of England Commissioning Region,Oakham Urgent Care Centre,0,0,203,203,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RGN,Midlands And East Of England Commissioning Region,Peterborough And Stamford Hospitals NHS Foundation Trust,"7,646",0,696,"8,342",377,0,1,378,95.1%,95.5%,"2,427",0,0,"2,427",748,"3,175",44,0,,,
,Y02428,Midlands And East Of England Commissioning Region,Putnoe Medical Centre Walk In Centre,0,0,"1,987","1,987",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RXK,Midlands And East Of England Commissioning Region,Sandwell And West Birmingham Hospitals NHS Trust,"13,654","2,081","3,077","18,812","1,098",5,0,"1,103",92.0%,94.1%,"3,301",26,0,"3,327",771,"4,098",3,0,,,
,RK5,Midlands And East Of England Commissioning Region,Sherwood Forest Hospitals NHS Foundation Trust,"7,929",0,"3,603","11,532",667,0,37,704,91.6%,93.9%,"2,481",0,7,"2,488",442,"2,930",96,0,,,
,Y02736,Midlands And East Of England Commissioning Region,Showell Park Health & Walk In Centre,0,0,"1,905","1,905",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RXW,Midlands And East Of England Commissioning Region,Shrewsbury And Telford Hospital NHS Trust,"9,647",0,864,"10,511","1,404",0,0,"1,404",85.4%,86.6%,"2,231",0,0,"2,231","2,209","4,440",339,0,,,
,R1D,Midlands And East Of England Commissioning Region,Shropshire Community Health NHS Trust,0,399,"1,873","2,272",0,0,0,0,N/A,100.0%,0,0,0,0,23,23,0,0,,,
,Y02568,Midlands And East Of England Commissioning Region,Solihull Healthcare & Walk-In-Centre,0,0,"3,365","3,365",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,Y02615,Midlands And East Of England Commissioning Region,South Birmingham GP Walk In Centre,0,0,"5,623","5,623",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RJC,Midlands And East Of England Commissioning Region,South Warwickshire NHS Foundation Trust,"4,965",0,568,"5,533",314,0,0,314,93.7%,94.3%,"1,509",0,0,"1,509",297,"1,806",4,0,,,
,RAJ,Midlands And East Of England Commissioning Region,Southend University Hospital NHS Foundation Trust,"7,919",0,0,"7,919","1,121",0,0,"1,121",85.8%,85.8%,"2,095",0,0,"2,095",756,"2,851",165,0,,,
,NLO02,Midlands And East Of England Commissioning Region,Staffordshire Doctors Urgent Care Ltd [Sduc],0,0,851,851,0,0,6,6,N/A,99.3%,0,0,0,0,0,0,0,0,,,
,NHM01,Midlands And East Of England Commissioning Region,Suffolk Community Healthcare - Ipswich,0,0,387,387,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,Y02961,Midlands And East Of England Commissioning Region,Summerfield GP Surg & Urgent Care Centre,0,0,"4,442","4,442",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RNA,Midlands And East Of England Commissioning Region,The Dudley Group NHS Foundation Trust,"7,688",0,"6,651","14,339",224,0,0,224,97.1%,98.4%,"2,546",0,0,"2,546",977,"3,523",37,0,,,
,RQW,Midlands And East Of England Commissioning Region,The Princess Alexandra Hospital NHS Trust,"8,464",0,141,"8,605","1,619",0,0,"1,619",80.9%,81.2%,"2,132",0,0,"2,132",443,"2,575",469,0,,,
,RCX,Midlands And East Of England Commissioning Region,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","4,793",0,0,"4,793",687,0,0,687,85.7%,85.7%,"1,707",0,0,"1,707",817,"2,524",277,1,,,
,RL1,Midlands And East Of England Commissioning Region,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,0,12,12,0,0,,,
,RL4,Midlands And East Of England Commissioning Region,The Royal Wolverhampton NHS Trust,"10,402",0,"4,181","14,583","1,160",0,1,"1,161",88.8%,92.0%,"2,531",0,0,"2,531","1,668","4,199",234,0,,,
,RWD,Midlands And East Of England Commissioning Region,United Lincolnshire Hospitals NHS Trust,"13,217",0,0,"13,217","1,781",0,0,"1,781",86.5%,86.5%,"3,336",0,0,"3,336","1,304","4,640",67,0,,,
,RRK,Midlands And East Of England Commissioning Region,University Hospitals Birmingham NHS Foundation Trust,"8,959",0,0,"8,959",810,0,0,810,91.0%,91.0%,"2,703",0,0,"2,703",932,"3,635",81,0,,,
,RKB,Midlands And East Of England Commissioning Region,University Hospitals Coventry And Warwickshire NHS Trust,"11,953","1,708","2,156","15,817","1,731",6,3,"1,740",85.5%,89.0%,"3,933",83,3,"4,019",708,"4,727",417,0,,,
,RWE,Midlands And East Of England Commissioning Region,University Hospitals Of Leicester NHS Trust,"11,895","1,755","6,245","19,895","3,557",43,32,"3,632",70.1%,81.7%,"3,693",10,0,"3,703","3,722","7,425",311,1,,,
,RJE,Midlands And East Of England Commissioning Region,University Hospitals Of North Midlands NHS Trust,"10,905",430,"8,020","19,355","2,617",0,237,"2,854",76.0%,85.3%,"4,115",0,574,"4,689","2,671","7,360",913,0,,,
,RBK,Midlands And East Of England Commissioning Region,Walsall Healthcare NHS Trust,"6,305",0,"3,688","9,993","1,879",0,4,"1,883",70.2%,81.2%,"1,909",0,0,"1,909",719,"2,628",616,0,,,
,ATQ02,Midlands And East Of England Commissioning Region,Walsall Urgent Care Centre (Community Site),0,0,"3,916","3,916",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RWG,Midlands And East Of England Commissioning Region,West Hertfordshire Hospitals NHS Trust,"7,701",0,"3,924","11,625","1,347",0,5,"1,352",82.5%,88.4%,"2,641",0,0,"2,641",717,"3,358",476,0,,,
,RGR,Midlands And East Of England Commissioning Region,West Suffolk NHS Foundation Trust,"5,324",0,0,"5,324",258,0,0,258,95.2%,95.2%,"1,567",0,0,"1,567",644,"2,211",10,0,,,
,RWP,Midlands And East Of England Commissioning Region,Worcestershire Acute Hospitals NHS Trust,"10,148",0,"4,847","14,995","1,406",0,0,"1,406",86.1%,90.6%,"3,095",0,0,"3,095","1,024","4,119",467,0,,,
,R1A,Midlands And East Of England Commissioning Region,Worcestershire Health And Care NHS Trust,0,584,0,584,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RLQ,Midlands And East Of England Commissioning Region,Wye Valley NHS Trust,"4,447",0,"3,253","7,700",846,0,0,846,81.0%,89.0%,981,0,0,981,298,"1,279",196,0,,,
,RTV,North Of England Commissioning Region,5 Boroughs Partnership NHS Foundation Trust,0,0,"3,981","3,981",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,REM,North Of England Commissioning Region,Aintree University Hospital NHS Foundation Trust,"6,520",0,"5,864","12,384","1,491",0,0,"1,491",77.1%,88.0%,"2,104",0,0,"2,104",977,"3,081",613,0,,,
,RCF,North Of England Commissioning Region,Airedale NHS Foundation Trust,"4,246",0,0,"4,246",237,0,0,237,94.4%,94.4%,958,0,0,958,862,"1,820",27,0,,,
,RBS,North Of England Commissioning Region,Alder Hey Children's NHS Foundation Trust,"5,466",0,0,"5,466","1,156",0,0,"1,156",78.9%,78.9%,789,0,0,789,293,"1,082",0,0,,,
,RFF,North Of England Commissioning Region,Barnsley Hospital NHS Foundation Trust,"6,668",0,0,"6,668",474,0,0,474,92.9%,92.9%,"1,926",0,0,"1,926",687,"2,613",97,0,,,
,RXL,North Of England Commissioning Region,Blackpool Teaching Hospitals NHS Foundation Trust,"6,905",0,"8,846","15,751","1,582",0,1,"1,583",77.1%,89.9%,"1,922",0,0,"1,922","1,015","2,937",492,0,,,
,RMC,North Of England Commissioning Region,Bolton NHS Foundation Trust,"9,559",0,0,"9,559","1,079",0,0,"1,079",88.7%,88.7%,"2,279",0,0,"2,279","1,159","3,438",310,0,,,
,RAE,North Of England Commissioning Region,Bradford Teaching Hospitals NHS Foundation Trust,"10,816",0,0,"10,816",588,0,0,588,94.6%,94.6%,"2,766",0,0,"2,766","1,104","3,870",56,0,,,
,NNF09,North Of England Commissioning Region,Bransholme Health Centre,0,0,813,813,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RY2,North Of England Commissioning Region,Bridgewater Community Healthcare NHS Foundation Trust,0,0,"7,940","7,940",0,0,3,3,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RWY,North Of England Commissioning Region,Calderdale And Huddersfield NHS Foundation Trust,"11,950",0,0,"11,950",611,0,0,611,94.9%,94.9%,"2,452",0,0,"2,452","1,332","3,784",143,0,,,
,NTP08,North Of England Commissioning Region,Care Uk NHS Rotherham Diagnostic Centre,0,0,"3,528","3,528",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RW3,North Of England Commissioning Region,Central Manchester University Hospitals NHS Foundation Trust,"13,039","3,184","9,711","25,934","2,066",2,28,"2,096",84.2%,91.9%,"3,655",148,148,"3,951",586,"4,537",811,0,,,
,RLN,North Of England Commissioning Region,City Hospitals Sunderland NHS Foundation Trust,"7,409","2,179","2,049","11,637",818,8,4,830,89.0%,92.9%,"2,543",33,0,"2,576",918,"3,494",97,0,,,
,RJR,North Of England Commissioning Region,Countess Of Chester Hospital NHS Foundation Trust,"5,718",0,690,"6,408",686,0,24,710,88.0%,88.9%,"1,895",0,0,"1,895",599,"2,494",294,0,,,
,RXP,North Of England Commissioning Region,County Durham And Darlington NHS Foundation Trust,"10,661",0,"13,151","23,812","1,075",0,0,"1,075",89.9%,95.5%,"3,158",0,0,"3,158","1,907","5,065",310,0,,,
,RNN,North Of England Commissioning Region,Cumbria Partnership NHS Foundation Trust,0,0,"1,165","1,165",0,0,2,2,N/A,99.8%,0,0,0,0,0,0,0,0,,,
,RP5,North Of England Commissioning Region,Doncaster And Bassetlaw Hospitals NHS Foundation Trust,"10,909",0,"2,412","13,321",738,0,0,738,93.2%,94.5%,"3,062",0,144,"3,206","1,204","4,410",450,0,,,
,RJN,North Of England Commissioning Region,East Cheshire NHS Trust,"3,802",0,477,"4,279",360,0,0,360,90.5%,91.6%,912,0,0,912,377,"1,289",32,0,,,
