"% all in employment who are - 8: process, plant and machine operatives (SOC2010)",9200,124500,7.4,1.8,1960000,30648300,6.4,0.1,215500,4491700,4.8,0.3
"% all in employment who are - 9: elementary occupations (SOC2010)",20500,124500,16.4,2.6,3278800,30648300,10.7,0.2,395500,4491700,8.8,0.4
"aged 16-64 employment rate - ethnic minority",15000,27000,55.4,12.0,3646000,5705500,63.9,1.0,360600,524700,68.7,2.9
"16+ unemployment rate - ethnic minority",1800,16800,10.8,9.5,335600,4029500,8.3,0.7,28300,394500,7.2,1.9
"% of  ethnic minority aged 16-64 who are economically inactive",10300,27000,37.9,11.7,1725200,5705500,30.2,1.0,135900,524700,25.9,2.8
"% with NVQ4+ - aged 16-64",59800,169300,35.3,2.9,15190600,39741400,38.2,0.2,2286700,5518500,41.4,0.7
"% with NVQ3+ - aged 16-64",102300,169300,60.4,3.0,22616800,39741400,56.9,0.2,3326700,5518500,60.3,0.7
"% with NVQ2+ - aged 16-64",128100,169300,75.6,2.6,29536000,39741400,74.3,0.2,4278100,5518500,77.5,0.6
"% with NVQ1+ - aged 16-64",145300,169300,85.8,2.1,33914900,39741400,85.3,0.2,4899900,5518500,88.8,0.4
"% with other qualifications (NVQ) - aged 16-64",11900,169300,7.0,1.6,2631300,39741400,6.6,0.1,317900,5518500,5.8,0.3
"% with no qualifications (NVQ) - aged 16-64",12100,169300,7.2,1.6,3195300,39741400,8.0,0.1,300700,5518500,5.4,0.3




"","20/07/2016 Data has been reweighted in line with the latest ONS estimates."
"","20/07/2016 Data has been reweighted in line with the latest ONS estimates."

